team,shirt_number,player_name,is_captain,position,age,date_of_birth,nationality,club,caps,goals,market_value_eur,tournament_goals,tournament_assists
South Korea,,Kim Tae-hyeon,0,DF,25,2000-09-17,South Korea,Kashima Antlers,7,0,1200000,0,0
South Korea,,Hwang In-beom,0,MF,29,1996-09-20,South Korea,Feyenoord,73,6,7000000,1,1
South Korea,,Son Heung-min,1,FW,33,1992-07-08,South Korea,Los Angeles FC,144,56,15000000,0,0
South Korea,,Paik Seung-ho,0,MF,29,1997-03-17,South Korea,Birmingham City,27,3,2000000,0,0
South Korea,,Cho Gue-sung,0,FW,28,1998-01-25,South Korea,Midtjylland,44,12,2500000,0,0
South Korea,,Lee Jae-sung,0,MF,33,1992-08-10,South Korea,Mainz 05,105,15,2000000,0,0
South Korea,,Hwang Hee-chan,0,MF,30,1996-01-26,South Korea,Wolverhampton Wanderers,79,17,6000000,0,0
South Korea,,Song Bum-keun,0,GK,28,1997-10-15,South Korea,Jeonbuk Hyundai Motors,3,0,1000000,0,0
South Korea,,Lee Tae-seok,0,DF,23,2002-07-28,South Korea,Austria Wien,15,1,2000000,0,0
South Korea,,Cho Wi-je,0,DF,24,2001-08-25,South Korea,Jeonbuk Hyundai Motors,1,0,550000,0,0
South Korea,,Kim Moon-hwan,0,DF,30,1995-08-01,South Korea,Daejeon Hana Citizen,35,0,750000,0,0
South Korea,,Park Jin-seob,0,DF,30,1995-10-23,South Korea,Zhejiang,14,1,1000000,0,0
South Korea,,Bae Jun-ho,0,MF,22,2003-08-21,South Korea,Stoke City,13,2,4000000,0,0
South Korea,,Oh Hyeon-gyu,0,FW,25,2001-04-12,South Korea,Beşiktaş,27,6,15000000,0,0
South Korea,,Lee Kang-in,0,MF,25,2001-02-19,South Korea,Paris Saint-Germain,47,11,28000000,0,0
South Korea,,Yang Hyun-jun,0,MF,24,2002-05-25,South Korea,Celtic,9,0,5000000,0,0
South Korea,,Jo Hyeon-woo,0,GK,34,1991-09-25,South Korea,Ulsan HD,48,0,650000,0,0
South Korea,,Seol Young-woo,0,DF,27,1998-12-05,South Korea,Red Star Belgrade,34,0,5000000,0,0
South Korea,,Jens Castrop,0,DF,22,2003-07-29,South Korea,Borussia Mönchengladbach,7,0,10000000,0,0
South Korea,,Kim Jin-gyu,0,MF,29,1997-02-24,South Korea,Jeonbuk Hyundai Motors,22,3,1200000,0,0
South Korea,,Eom Ji-sung,0,MF,24,2002-05-09,South Korea,Swansea City,9,2,1800000,0,0
South Korea,,Lee Dong-gyeong,0,MF,28,1997-09-20,South Korea,Ulsan HD,18,4,1600000,0,0
Bosnia and Herzegovina,,Nikola Vasilj,0,GK,30,1995-12-02,Bosnia and Herzegovina,FC St. Pauli,25,0,4500000,0,0
Bosnia and Herzegovina,,Nihad Mujakić,0,DF,28,1998-04-15,Bosnia and Herzegovina,Gaziantep,11,1,1200000,0,0
Bosnia and Herzegovina,,Dennis Hadžikadunić,0,DF,27,1998-07-09,Bosnia and Herzegovina,Sampdoria,31,0,1200000,0,0
Bosnia and Herzegovina,,Tarik Muharemović,0,DF,23,2003-02-28,Bosnia and Herzegovina,Sassuolo,13,1,25000000,0,0
Bosnia and Herzegovina,,Sead Kolašinac,0,DF,32,1993-06-20,Bosnia and Herzegovina,Atalanta,64,0,4000000,0,0
Bosnia and Herzegovina,,Benjamin Tahirović,0,MF,23,2003-03-03,Bosnia and Herzegovina,Brøndby,27,2,4500000,0,0
Bosnia and Herzegovina,,Amar Dedić,0,DF,23,2002-08-18,Bosnia and Herzegovina,Benfica,27,1,16000000,0,0
Bosnia and Herzegovina,,Armin Gigović,0,MF,24,2002-04-06,Bosnia and Herzegovina,Young Boys,19,1,2500000,0,0
Bosnia and Herzegovina,,Samed Baždar,0,FW,22,2004-01-31,Bosnia and Herzegovina,Jagiellonia Białystok,12,1,1500000,0,0
Bosnia and Herzegovina,,Ermedin Demirović,0,FW,28,1998-03-25,Bosnia and Herzegovina,VfB Stuttgart,39,4,22000000,0,0
Bosnia and Herzegovina,,Edin Džeko,1,FW,40,1986-03-17,Bosnia and Herzegovina,Schalke 04,148,73,1000000,0,0
Bosnia and Herzegovina,,Mladen Jurkas,0,GK,18,2007-10-07,Bosnia and Herzegovina,Borac Banja Luka,0,0,700000,0,0
Bosnia and Herzegovina,,Ivan Bašić,0,MF,24,2002-04-30,Bosnia and Herzegovina,Astana,16,0,1200000,0,0
Bosnia and Herzegovina,,Ivan Šunjić,0,MF,29,1996-10-09,Bosnia and Herzegovina,Pafos,11,0,2000000,0,0
Bosnia and Herzegovina,,Amar Memić,0,MF,25,2001-01-20,Bosnia and Herzegovina,Viktoria Plzeň,12,1,4500000,0,0
Bosnia and Herzegovina,,Amir Hadžiahmetović,0,MF,29,1997-03-08,Bosnia and Herzegovina,Hull City,35,0,4000000,0,0
Bosnia and Herzegovina,,Dženis Burnić,0,MF,28,1998-05-22,Bosnia and Herzegovina,Karlsruher SC,19,0,1200000,0,0
Bosnia and Herzegovina,,Nikola Katić,0,DF,29,1996-10-10,Bosnia and Herzegovina,Schalke 04,16,1,1800000,0,0
Bosnia and Herzegovina,,Kerim Alajbegović,0,FW,18,2007-09-21,Bosnia and Herzegovina,Red Bull Salzburg,9,1,22000000,0,0
Bosnia and Herzegovina,,Esmir Bajraktarević,0,FW,21,2005-03-10,Bosnia and Herzegovina,PSV Eindhoven,15,1,8000000,0,0
Bosnia and Herzegovina,,Stjepan Radeljić,0,DF,28,1997-09-05,Bosnia and Herzegovina,Rijeka,5,0,2800000,0,0
Bosnia and Herzegovina,,Martin Zlomislić,0,GK,27,1998-08-16,Bosnia and Herzegovina,Rijeka,3,0,2000000,0,0
Bosnia and Herzegovina,,Haris Tabaković,0,FW,31,1994-06-20,Bosnia and Herzegovina,Borussia Mönchengladbach,10,4,3500000,0,0
Bosnia and Herzegovina,,Nidal Čelik,0,DF,19,2006-07-17,Bosnia and Herzegovina,Lens,1,0,7000000,0,0
Bosnia and Herzegovina,,Jovo Lukić,0,FW,27,1998-11-28,Bosnia and Herzegovina,Universitatea Cluj,2,0,1500000,1,0
Bosnia and Herzegovina,,Ermin Mahmić,0,MF,21,2005-03-14,Bosnia and Herzegovina,Slovan Liberec,1,0,5000000,2,0
Canada,,Dayne St. Clair,0,GK,29,1997-05-09,Canada,Inter Miami CF,20,0,3500000,0,0
Canada,,Alistair Johnston,0,DF,27,1998-10-08,Canada,Celtic,57,1,8000000,0,0
Canada,,Alfie Jones,0,DF,28,1997-10-07,Canada,Middlesbrough,2,0,6000000,0,0
Canada,,Luc de Fougerolles,0,DF,20,2005-10-12,Canada,Dender,12,0,1000000,0,0
