team,player_name,market_value_eur
Morocco,Ahmed Reda Tagnaouti,800000
Morocco,Munir El Kajoui,700000
Morocco,Nayef Aguerd,15000000
Morocco,Chadi Riad,15000000
Morocco,Issa Diop,8000000
Morocco,Redouane Halhal,5000000
Morocco,Anass Salah-Eddine,12000000
Morocco,Youssef Belammari,1200000
Morocco,Achraf Hakimi,80000000
Morocco,Noussair Mazraoui,18000000
Morocco,Zakaria El Ouahdi,17000000
Morocco,Sofyan Amrabat,12000000
Morocco,Ayyoub Bouaddi,50000000
Morocco,Neil El Aynaoui,23000000
Morocco,Samir El Mourabet,22000000
Morocco,Azzedine Ounahi,10000000
Morocco,Ismael Saibari,40000000
Morocco,Bilal El Khannouss,35000000
Morocco,Abde Ezzalzouli,30000000
Morocco,Soufiane Rahimi,6000000
Morocco,Brahim Díaz,35000000
Morocco,Chemsdine Talbi,25000000
Morocco,Gessime Yassine,12000000
Morocco,Ayoube Amaimouni-Echghouyab,10000000
Morocco,Ayoub El Kaabi,4500000
Senegal,Yehvann Diouf,7000000
Senegal,Edouard Mendy,4000000
Senegal,Mory Diaw,900000
Senegal,Mamadou Sarr,22000000
Senegal,Moussa Niakhaté,15000000
Senegal,Antoine Mendy,10000000
Senegal,Kalidou Koulibaly,4500000
Senegal,Abdoulaye Seck,500000
Senegal,El Hadji Malick Diouf,28000000
Senegal,Ismail Jakobs,8000000
Senegal,Idrissa Gueye,500000
Senegal,Lamine Camara,40000000
Senegal,Pape Gueye,40000000
Senegal,Habib Diarra,35000000
Senegal,Pape Matar Sarr,30000000
Senegal,Bara Sapoko Ndiaye,4000000
Senegal,Pathé Ciss,2000000
Senegal,Krépin Diatta,6000000
Senegal,Assane Diao,30000000
Senegal,Sadio Mané,6000000
Senegal,Iliman Ndiaye,55000000
Senegal,Ismaïla Sarr,40000000
Senegal,Ibrahim Mbaye,30000000
Senegal,Nicolas Jackson,40000000
Senegal,Bamba Dieng,15000000
Senegal,Cherif Ndiaye,5000000
Turkiye,Uğurcan Çakır,15000000
Turkiye,Altay Bayındır,5000000
Turkiye,Mert Günok,500000
Turkiye,Ozan Kabak,15000000
Turkiye,Merih Demiral,12000000
Turkiye,Abdülkerim Bardakcı,6500000
Turkiye,Çağlar Söyüncü,3500000
Turkiye,Samet Akaydin,1200000
Turkiye,Ferdi Kadıoğlu,35000000
Turkiye,Eren Elmalı,5000000
Turkiye,Zeki Çelik,14000000
Turkiye,Mert Müldür,7000000
Turkiye,Hakan Çalhanoğlu,16000000
Turkiye,İsmail Yüksek,15000000
Turkiye,Salih Özcan,3500000
Turkiye,Kaan Ayhan,1500000
Turkiye,Orkun Kökçü,25000000
Turkiye,Arda Güler,90000000
Turkiye,Can Uzun,45000000
Turkiye,Kenan Yıldız,75000000
Turkiye,Barış Alper Yılmaz,30000000
Turkiye,Kerem Aktürkoğlu,20000000
Turkiye,Yunus Akgün,18000000
Turkiye,Oğuz Aydın,7000000
Turkiye,İrfan Can Kahveci,3000000
Turkiye,Deniz Gül,5000000
Sweden,Viktor Johansson,12000000
Sweden,Jacob Widell Zetterström,2500000
Sweden,Kristoffer Nordfeldt,175000
Sweden,Isak Hien,22000000
Sweden,Gustaf Lagerbielke,10000000
Sweden,Victor Lindelöf,5000000
Sweden,Hjalmar Ekdal,5000000
Sweden,Carl Starfelt,5000000
Sweden,Eric Smith,5000000
Sweden,Daniel Svensson,22000000
Sweden,Gabriel Gudmundsson,20000000
Sweden,Ken Sema,800000
Sweden,Jesper Karlström,4000000
Sweden,Lucas Bergvall,35000000
Sweden,Yasin Ayari,35000000
Sweden,Mattias Svanberg,8000000
Sweden,Besfort Zeneli,6000000
Sweden,Herman Johansson,1800000
Sweden,Elliot Stroud,3000000
Sweden,Benjamin Nygren,14000000
Sweden,Taha Ali,1200000
Sweden,Anthony Elanga,32000000
Sweden,Alexander Bernhardsson,3000000
Sweden,Alexander Isak,85000000
Sweden,Viktor Gyökeres,65000000
Sweden,Gustaf Nilsson,1800000
Uruguay,Santiago Mele,2000000
Uruguay,Sergio Rochet,1800000
Uruguay,Fernando Muslera,700000
Uruguay,Ronald Araujo,20000000
Uruguay,José María Giménez,12000000
Uruguay,Santiago Bueno,10000000
Uruguay,Sebastián Cáceres,4500000
Uruguay,Maxi Araújo,35000000
Uruguay,Mathías Olivera,15000000
Uruguay,Joaquín Piquerez,12000000
Uruguay,Juan Manuel Sanabria,4000000
Uruguay,Matías Viña,3500000
Uruguay,Guillermo Varela,1000000
Uruguay,Manuel Ugarte,25000000
Uruguay,Rodrigo Bentancur,20000000
Uruguay,Emiliano Martínez,6500000
Uruguay,Federico Valverde,120000000
Uruguay,Nicolás de la Cruz,8000000
Uruguay,Rodrigo Zalazar,30000000
Uruguay,Giorgian de Arrascaeta,14000000
Uruguay,Agustín Canobbio,8000000
Uruguay,Brian Rodríguez,8000000
Uruguay,Facundo Pellistri,5000000
Uruguay,Darwin Núñez,20000000
Uruguay,Federico Viñas,4000000
Uruguay,Rodrigo Aguirre,2300000
Croatia,Dominik Kotarski,5000000
Croatia,Ivor Pandur,4500000
Croatia,Dominik Livakovic,4000000
Croatia,Josko Gvardiol,70000000
Croatia,Luka Vuskovic,60000000
Croatia,Josip Sutalo,12000000
Croatia,Marin Pongracic,6500000
Croatia,Martin Erlić,4000000
Croatia,Duje Caleta-Car,3000000
Croatia,Josip Stanisic,40000000
Croatia,Nikola Moro,7000000
Croatia,Kristijan Jakic,6000000
Croatia,Petar Sučić,40000000
Croatia,Mateo Kovacic,10000000
Croatia,Luka Sucic,10000000
Croatia,Mario Pašalić,6000000
Croatia,Luka Modrić,3500000
Croatia,Martin Baturina,30000000
Croatia,Nikola Vlašić,10000000
Croatia,Toni Fruk,9000000
Croatia,Andrej Kramaric,2500000
Croatia,Ivan Perišić,1200000
Croatia,Marco Pašalić,6500000
Croatia,Igor Matanovic,22000000
Croatia,Petar Musa,12000000
Croatia,Ante Budimir,3000000
United States,Matt Turner,2500000
United States,Chris Brady,2500000
United States,Matt Freese,2000000
United States,Chris Richards,28000000
United States,Mark McKenzie,7000000
United States,Auston Trusty,6000000
United States,Miles Robinson,3500000
United States,Tim Ream,150000
