team,player_name,position,age,date_of_birth,caps,goals,club
Bosnia and Herzegovina,Ermedin Demirović,FW,28,1998-03-25,39,4,VfB Stuttgart
Bosnia and Herzegovina,Edin Džeko (captain),FW,40,1986-03-17,148,73,Schalke 04
Bosnia and Herzegovina,Mladen Jurkas,GK,18,2007-10-07,0,0,Borac Banja Luka
Bosnia and Herzegovina,Ivan Bašić,MF,24,2002-04-30,16,0,Astana
Bosnia and Herzegovina,Ivan Šunjić,MF,29,1996-10-09,11,0,Pafos
Bosnia and Herzegovina,Amar Memić,MF,25,2001-01-20,12,1,Viktoria Plzeň
Bosnia and Herzegovina,Amir Hadžiahmetović,MF,29,1997-03-08,35,0,Hull City
Bosnia and Herzegovina,Dženis Burnić,MF,28,1998-05-22,19,0,Karlsruher SC
Bosnia and Herzegovina,Nikola Katić,DF,29,1996-10-10,16,1,Schalke 04
Bosnia and Herzegovina,Kerim Alajbegović,FW,18,2007-09-21,9,1,Red Bull Salzburg
Bosnia and Herzegovina,Esmir Bajraktarević,FW,21,2005-03-10,15,1,PSV Eindhoven
Bosnia and Herzegovina,Stjepan Radeljić,DF,28,1997-09-05,5,0,Rijeka
Bosnia and Herzegovina,Martin Zlomislić,GK,27,1998-08-16,3,0,Rijeka
Bosnia and Herzegovina,Haris Tabaković,FW,31,1994-06-20,10,4,Borussia Mönchengladbach
Bosnia and Herzegovina,Nidal Čelik,DF,19,2006-07-17,1,0,Lens
Bosnia and Herzegovina,Jovo Lukić,FW,27,1998-11-28,2,0,Universitatea Cluj
Bosnia and Herzegovina,Ermin Mahmić,MF,21,2005-03-14,1,0,Slovan Liberec
Canada,Dayne St. Clair,GK,29,1997-05-09,20,0,Inter Miami CF
Canada,Alistair Johnston,DF,27,1998-10-08,57,1,Celtic
Canada,Alfie Jones,DF,28,1997-10-07,2,0,Middlesbrough
Canada,Luc de Fougerolles,DF,20,2005-10-12,12,0,Dender
Canada,Joel Waterman,DF,30,1996-01-24,17,0,Chicago Fire FC
Canada,Mathieu Choinière,MF,27,1999-02-07,23,0,Los Angeles FC
Canada,Stephen Eustáquio,MF,29,1996-12-21,55,4,Los Angeles FC
Canada,Ismaël Koné,MF,23,2002-06-16,39,4,Sassuolo
Canada,Cyle Larin,FW,31,1995-04-17,89,30,Southampton
Canada,Jonathan David,FW,26,2000-01-14,76,39,Juventus
Canada,Liam Millar,MF,26,1999-09-27,40,1,Hull City
Canada,Tani Oluwaseyi,FW,26,2000-05-15,23,2,Villarreal
Canada,Derek Cornelius,DF,28,1997-11-25,43,1,Rangers
Canada,Jacob Shaffelburg,MF,26,1999-11-26,31,6,Los Angeles FC
Canada,Moïse Bombito,DF,26,2000-03-30,20,0,Nice
Canada,Maxime Crépeau,GK,32,1994-05-11,31,0,Orlando City SC
Canada,Tajon Buchanan,FW,27,1999-02-08,59,8,Villarreal
Canada,Owen Goodman,GK,22,2003-11-27,0,0,Barnsley
Canada,Alphonso Davies (captain),DF,25,2000-11-02,58,15,Bayern Munich
Canada,Ali Ahmed,FW,25,2000-10-10,24,1,Norwich City
Canada,Jonathan Osorio,MF,33,1992-06-12,90,10,Toronto FC
Canada,Richie Laryea,DF,31,1995-01-07,74,1,Toronto FC
Canada,Niko Sigur,DF,22,2003-09-09,18,2,Hajduk Split
Canada,Promise David,FW,24,2001-07-03,9,3,Union Saint-Gilloise
Canada,Nathan Saliba,MF,22,2004-02-07,14,2,Anderlecht
Qatar,Mahmud Abunada,GK,26,2000-02-05,4,0,Al-Rayyan
Qatar,Pedro Miguel,DF,35,1990-08-06,98,3,Al-Sadd
Qatar,Lucas Mendes,DF,35,1990-07-03,25,1,Al-Wakrah
