team,player_name,position,age,date_of_birth,caps,goals,club
New Zealand,Ryan Thomas,MF,31,1994-12-20,25,3,PEC Zwolle
New Zealand,Callan Elliot,DF,26,1999-07-07,10,0,Auckland FC
New Zealand,Lachlan Bayliss,MF,23,2002-07-24,3,0,Newcastle Jets
New Zealand,Tommy Smith,DF,36,1990-03-31,56,2,Braintree Town
Cape Verde,Vozinha,GK,40,1986-06-03,86,0,Chaves
Cape Verde,Stopira,DF,38,1988-05-20,61,4,Torreense
Cape Verde,Diney,DF,31,1995-01-17,30,2,Al Bataeh
Cape Verde,Roberto Lopes,DF,33,1992-06-17,45,0,Shamrock Rovers
Cape Verde,Logan Costa,DF,25,2001-04-01,27,0,Villarreal
Cape Verde,Kevin Pina,MF,29,1997-01-27,31,3,Krasnodar
Cape Verde,Jovane Cabral,MF,27,1998-06-14,26,2,Estrela Amadora
Cape Verde,João Paulo,MF,28,1998-05-26,41,1,FCSB
Cape Verde,Gilson Benchimol,FW,24,2001-12-29,22,6,Akron Tolyatti
Cape Verde,Jamiro Monteiro,MF,32,1993-11-23,54,5,PEC Zwolle
Cape Verde,Garry Rodrigues,MF,35,1990-11-27,59,9,Apollon Limassol
Cape Verde,Márcio Rosa,GK,29,1997-02-23,10,0,Montana
Cape Verde,Sidny Lopes Cabral,DF,23,2002-09-18,9,3,Benfica
Cape Verde,Deroy Duarte,MF,26,1999-07-04,30,0,Ludogorets Razgrad
Cape Verde,Laros Duarte,MF,29,1997-02-28,13,1,Puskás Akadémia
Cape Verde,Yannick Semedo,MF,30,1995-12-29,10,1,Farense
Cape Verde,Willy Semedo,MF,32,1994-04-27,37,2,Omonia
Cape Verde,Telmo Arcanjo,MF,24,2001-06-21,15,1,Vitória de Guimarães
Cape Verde,Dailon Livramento,FW,25,2001-05-04,21,7,Casa Pia
Cape Verde,Ryan Mendes (captain),FW,36,1990-01-08,97,22,Iğdır
Cape Verde,Nuno da Costa,MF,35,1991-02-10,8,1,İstanbul Başakşehir
Cape Verde,Steven Moreira,DF,31,1994-08-13,19,0,Columbus Crew
Cape Verde,CJ dos Santos,GK,25,2000-08-24,1,0,San Diego FC
Cape Verde,Wagner Pina,DF,23,2002-11-03,13,0,Trabzonspor
Cape Verde,Kelvin Pires,DF,26,2000-06-05,5,1,SJK
Cape Verde,Hélio Varela,MF,24,2002-05-03,20,0,Maccabi Tel Aviv
Saudi Arabia,Nawaf Al-Aqidi,GK,26,2000-05-10,22,0,Al-Nassr
Saudi Arabia,Ali Majrashi,DF,26,1999-10-02,20,0,Al-Ahli
Saudi Arabia,Ali Lajami,DF,30,1996-04-24,20,1,Al-Hilal
Saudi Arabia,Abdulelah Al-Amri,DF,29,1997-01-15,41,1,Al-Nassr
Saudi Arabia,Hassan Al-Tambakti,DF,27,1999-02-09,51,0,Al-Hilal
Saudi Arabia,Nasser Al-Dawsari,MF,27,1998-12-19,42,0,Al-Hilal
Saudi Arabia,Musab Al-Juwayr,MF,22,2003-06-20,33,6,Al-Qadsiah
Saudi Arabia,Ayman Yahya,FW,25,2001-05-14,25,0,Al-Nassr
Saudi Arabia,Firas Al-Buraikan,FW,26,2000-05-14,69,15,Al-Ahli
Saudi Arabia,Salem Al-Dawsari (captain),FW,34,1991-08-19,108,26,Al-Hilal
Saudi Arabia,Saleh Al-Shehri,FW,32,1993-11-01,55,18,Al-Ittihad
Saudi Arabia,Saud Abdulhamid,DF,26,1999-07-18,53,1,Lens
Saudi Arabia,Nawaf Boushal,DF,26,1999-09-16,24,0,Al-Nassr
Saudi Arabia,Hassan Kadesh,DF,33,1992-09-26,19,2,Al-Ittihad
Saudi Arabia,Abdullah Al-Khaibari,MF,29,1996-08-16,38,0,Al-Nassr
Saudi Arabia,Ziyad Al-Johani,MF,24,2001-11-11,11,0,Al-Ahli
Saudi Arabia,Khalid Al-Ghannam,FW,25,2000-11-08,5,0,Al-Ettifaq
Saudi Arabia,Alaa Al-Hejji,MF,30,1995-12-03,1,0,Neom
Saudi Arabia,Abdullah Al-Hamdan,FW,26,1999-09-13,48,11,Al-Nassr
Saudi Arabia,Sultan Mandash,FW,31,1994-10-17,5,1,Al-Hilal
Saudi Arabia,Mohammed Al-Owais,GK,34,1991-10-10,63,0,Al-Ula
Saudi Arabia,Ahmed Al-Kassar,GK,35,1991-05-08,8,0,Al-Qadsiah
Saudi Arabia,Mohamed Kanno,MF,31,1994-09-22,75,8,Al-Hilal
Saudi Arabia,Moteb Al-Harbi,DF,26,2000-02-20,11,0,Al-Hilal
Saudi Arabia,Jehad Thakri,DF,24,2001-07-21,6,0,Al-Qadsiah
Saudi Arabia,Mohammed Abu Al-Shamat,DF,23,2002-08-11,5,0,Al-Qadsiah
Spain,David Raya,GK,30,1995-09-15,12,0,Arsenal
Spain,Marc Pubill,DF,22,2003-06-20,0,0,Atlético Madrid
Spain,Álex Grimaldo,DF,30,1995-09-20,12,0,Bayer Leverkusen
Spain,Eric García,DF,25,2001-01-09,19,0,Barcelona
Spain,Marcos Llorente,DF,31,1995-01-30,23,0,Atlético Madrid
Spain,Mikel Merino,MF,29,1996-06-22,41,10,Arsenal
Spain,Ferran Torres,FW,26,2000-02-29,55,23,Barcelona
Spain,Fabián Ruiz,MF,30,1996-04-03,41,6,Paris Saint-Germain
Spain,Gavi,MF,21,2004-08-05,28,5,Barcelona
Spain,Dani Olmo,FW,28,1998-05-07,48,12,Barcelona
Spain,Yéremy Pino,FW,23,2002-10-20,21,4,Crystal Palace
Spain,Pedro Porro,DF,26,1999-09-13,16,0,Tottenham Hotspur
Spain,Joan Garcia,GK,25,2001-05-04,1,0,Barcelona
Spain,Aymeric Laporte,DF,32,1994-05-27,44,2,Athletic Bilbao
Spain,Álex Baena,MF,24,2001-07-20,15,2,Atlético Madrid
Spain,Rodri (captain),MF,29,1996-06-22,61,4,Manchester City
Spain,Nico Williams,FW,23,2002-07-12,30,6,Athletic Bilbao
Spain,Martín Zubimendi,MF,27,1999-02-02,25,3,Arsenal
Spain,Lamine Yamal,FW,18,2007-07-13,25,6,Barcelona
Spain,Pedri,MF,23,2002-11-25,40,5,Barcelona
Spain,Mikel Oyarzabal,FW,29,1997-04-21,52,24,Real Sociedad
Spain,Pau Cubarsí,DF,19,2007-01-22,11,0,Barcelona
Spain,Unai Simón,GK,29,1997-06-11,57,0,Athletic Bilbao
Spain,Marc Cucurella,DF,27,1998-07-22,23,1,Chelsea
Spain,Víctor Muñoz,FW,22,2003-07-13,2,1,Osasuna
Spain,Borja Iglesias,FW,33,1993-01-17,6,0,Celta Vigo
Uruguay,Sergio Rochet,GK,33,1993-03-23,35,0,Internacional
Uruguay,José Giménez (captain),DF,31,1995-01-20,99,8,Atlético Madrid
Uruguay,Sebastián Cáceres,DF,26,1999-08-18,24,0,América
Uruguay,Ronald Araújo,DF,27,1999-03-07,27,1,Barcelona
Uruguay,Manuel Ugarte,MF,25,2001-04-11,36,1,Manchester United
Uruguay,Rodrigo Bentancur,MF,28,1997-06-25,74,3,Tottenham Hotspur
Uruguay,Nicolás de la Cruz,MF,29,1997-06-01,34,5,Flamengo
Uruguay,Federico Valverde,MF,27,1998-07-22,73,9,Real Madrid
Uruguay,Darwin Núñez,FW,26,1999-06-24,38,13,Al-Hilal
Uruguay,Giorgian de Arrascaeta,MF,32,1994-06-01,60,13,Flamengo
Uruguay,Facundo Pellistri,FW,24,2001-12-20,39,2,Panathinaikos
Uruguay,Santiago Mele,GK,28,1997-09-06,8,0,Monterrey
Uruguay,Guillermo Varela,DF,33,1993-03-24,28,0,Flamengo
Uruguay,Agustín Canobbio,MF,27,1998-10-01,15,1,Fluminense
Uruguay,Emiliano Martínez,MF,26,1999-08-17,10,0,Palmeiras
Uruguay,Mathías Olivera,DF,28,1997-10-31,35,2,Napoli
Uruguay,Matías Viña,DF,28,1997-11-09,43,1,River Plate
Uruguay,Brian Rodríguez,FW,26,2000-05-20,32,4,América
Uruguay,Rodrigo Aguirre,FW,31,1994-10-01,10,3,UANL
Uruguay,Maximiliano Araújo,MF,26,2000-02-15,28,3,Sporting CP
Uruguay,Federico Viñas,FW,27,1998-06-30,11,2,Oviedo
Uruguay,Joaquín Piquerez,MF,27,1998-08-24,19,0,Palmeiras
Uruguay,Fernando Muslera,GK,39,1986-06-16,134,0,Estudiantes
Uruguay,Santiago Bueno,DF,27,1998-11-09,8,0,Wolverhampton Wanderers
Uruguay,Juan Manuel Sanabria,MF,26,2000-03-29,5,1,Real Salt Lake
Uruguay,Rodrigo Zalazar,MF,26,1999-08-12,8,2,Braga
France,Brice Samba,GK,32,1994-04-25,4,0,Rennes
France,Malo Gusto,DF,23,2003-05-19,9,0,Chelsea
France,Lucas Digne,DF,32,1993-07-20,56,0,Aston Villa
France,Dayot Upamecano,DF,27,1998-10-27,36,2,Bayern Munich
France,Jules Koundé,DF,27,1998-11-12,46,0,Barcelona
France,Manu Koné,MF,25,2001-05-17,12,0,Roma
France,Ousmane Dembélé,FW,29,1997-05-15,58,7,Paris Saint-Germain
France,Aurélien Tchouaméni,MF,26,2000-01-27,44,3,Real Madrid
France,Marcus Thuram,FW,28,1997-08-06,33,3,Inter Milan
France,Kylian Mbappé (captain),FW,27,1998-12-20,96,56,Real Madrid
France,Michael Olise,FW,24,2001-12-12,15,4,Bayern Munich
France,Bradley Barcola,FW,23,2002-09-02,18,3,Paris Saint-Germain
France,N'Golo Kanté,MF,35,1991-03-29,67,2,Fenerbahçe
France,Adrien Rabiot,MF,31,1995-04-03,57,7,Milan
France,Ibrahima Konaté,DF,27,1999-05-25,27,0,Liverpool
France,Mike Maignan,GK,30,1995-07-03,38,0,Milan
France,William Saliba,DF,25,2001-03-24,31,0,Arsenal
France,Warren Zaïre-Emery,MF,20,2006-03-08,10,1,Paris Saint-Germain
France,Théo Hernandez,DF,28,1997-10-06,42,2,Al-Hilal
France,Désiré Doué,FW,21,2005-06-03,6,2,Paris Saint-Germain
France,Lucas Hernandez,DF,30,1996-02-14,41,0,Paris Saint-Germain
France,Jean-Philippe Mateta,FW,28,1997-06-28,3,2,Crystal Palace
France,Robin Risser,GK,21,2004-12-02,0,0,Lens
France,Rayan Cherki,MF,22,2003-08-17,5,1,Manchester City
France,Maghnes Akliouche,MF,24,2002-02-25,7,1,Monaco
France,Maxence Lacroix,DF,26,2000-04-06,2,0,Crystal Palace
Iraq,Fahad Talib,GK,31,1994-10-21,21,0,Al-Talaba
Iraq,Rebin Sulaka,DF,34,1992-04-12,54,1,Port
Iraq,Hussein Ali,DF,24,2002-03-01,25,1,Pogoń Szczecin
Iraq,Zaid Tahseen,DF,25,2001-01-29,26,1,Pakhtakor
Iraq,Akam Hashim,DF,27,1998-08-16,12,1,Al-Zawraa
Iraq,Manaf Younis,DF,29,1996-11-16,32,1,Al-Shorta
Iraq,Youssef Amyn,MF,22,2003-08-21,25,2,AEK Larnaca
Iraq,Ibrahim Bayesh,MF,26,2000-05-01,74,8,Al Dhafra
Iraq,Ali Al-Hamadi,FW,24,2002-03-01,18,5,Luton Town
Iraq,Mohanad Ali,FW,25,2000-06-20,71,27,Dibba
Iraq,Ahmed Qasem,FW,22,2003-07-12,1,0,Nashville SC
Iraq,Jalal Hassan (captain),GK,35,1991-05-18,100,0,Al-Zawraa
Iraq,Ali Yousif,FW,30,1996-01-19,6,1,Al-Talaba
Iraq,Zidane Iqbal,MF,23,2003-04-27,23,2,Utrecht
Iraq,Ahmed Yahya,DF,30,1995-07-01,19,0,Al-Shorta
Iraq,Amir Al-Ammari,MF,28,1997-07-27,49,3,Cracovia
Iraq,Ali Jasim,FW,22,2004-01-20,35,2,Al-Najma
Iraq,Aymen Hussein,FW,30,1996-03-22,93,33,Al-Karma
Iraq,Kevin Yakob,MF,25,2000-10-10,7,0,AGF
Iraq,Aimar Sher,MF,23,2002-12-20,6,0,Sarpsborg 08
Iraq,Marko Farji,FW,22,2004-03-16,10,0,Venezia
Iraq,Ahmed Basil,GK,29,1996-08-19,14,0,Al-Shorta
Iraq,Merchas Doski,DF,26,1999-12-07,30,0,Viktoria Plzeň
Iraq,Zaid Ismail,MF,24,2002-01-03,5,0,Al-Talaba
Iraq,Mustafa Saadoon,DF,25,2001-05-25,15,0,Al-Shorta
Iraq,Frans Putros,DF,32,1993-07-14,26,0,Persib
Norway,Ørjan Nyland,GK,35,1990-09-10,70,0,Sevilla
Norway,Morten Thorsby,MF,30,1996-05-05,31,0,Cremonese
Norway,Kristoffer Ajer,DF,28,1998-04-17,51,2,Brentford
Norway,Leo Østigård,DF,26,1999-11-28,37,1,Genoa
Norway,David Møller Wolfe,DF,24,2002-04-23,21,1,Wolverhampton Wanderers
Norway,Patrick Berg,MF,28,1997-11-24,42,0,Bodø/Glimt
Norway,Alexander Sørloth,FW,30,1995-12-05,71,26,Atlético Madrid
Norway,Sander Berge,MF,28,1998-02-14,65,1,Fulham
Norway,Erling Haaland,FW,25,2000-07-21,49,55,Manchester City
Norway,Martin Ødegaard (captain),MF,27,1998-12-17,67,4,Arsenal
Norway,Jørgen Strand Larsen,FW,26,2000-02-06,27,6,Crystal Palace
Norway,Sander Tangvik,GK,23,2002-11-29,0,0,Hamburger SV
Norway,Egil Selvik,GK,28,1997-07-30,6,0,Watford
Norway,Fredrik Aursnes,MF,30,1995-12-10,21,1,Benfica
Norway,Fredrik André Bjørkan,DF,27,1998-08-21,20,1,Bodø/Glimt
Norway,Marcus Holmgren Pedersen,DF,25,2000-07-16,32,0,Torino
Norway,Torbjørn Heggem,DF,27,1999-01-12,14,0,Bologna
Norway,Kristian Thorstvedt,MF,27,1999-03-13,36,4,Sassuolo
Norway,Thelo Aasgaard,MF,24,2002-05-02,7,5,Rangers
Norway,Antonio Nusa,FW,21,2005-04-17,23,8,RB Leipzig
Norway,Andreas Schjelderup,MF,22,2004-06-01,11,1,Benfica
Norway,Oscar Bobb,MF,22,2003-07-12,19,2,Fulham
Norway,Jens Petter Hauge,MF,26,1999-10-12,15,1,Bodø/Glimt
Norway,Sondre Langås,DF,25,2001-02-02,3,0,Derby County
Norway,Henrik Falchener,DF,23,2003-05-08,1,0,Viking
Norway,Julian Ryerson,FW,28,1997-11-17,42,1,Borussia Dortmund
Senegal,Yehvann Diouf,GK,26,1999-11-16,2,0,Nice
Senegal,Mamadou Sarr,DF,20,2005-08-29,7,0,Chelsea
Senegal,Kalidou Koulibaly (captain),DF,34,1991-06-20,102,2,Al-Hilal
Senegal,Abdoulaye Seck,DF,34,1992-06-04,22,4,Maccabi Haifa
Senegal,Idrissa Gueye,MF,36,1989-09-26,130,7,Everton
Senegal,Pathé Ciss,MF,32,1994-03-16,29,0,Rayo Vallecano
Senegal,Assane Diao,FW,20,2005-09-07,5,0,Como
Senegal,Lamine Camara,MF,22,2004-01-01,32,7,Monaco
Senegal,Bamba Dieng,FW,26,2000-03-23,22,2,Lorient
Senegal,Sadio Mané,FW,34,1992-04-10,127,55,Al-Nassr
Senegal,Nicolas Jackson,FW,24,2001-06-20,32,8,Bayern Munich
Senegal,Cherif Ndiaye,FW,30,1996-01-23,18,4,Samsunspor
Senegal,Iliman Ndiaye,FW,26,2000-03-06,39,4,Everton
Senegal,Ismail Jakobs,DF,26,1999-08-17,29,0,Galatasaray
Senegal,Krépin Diatta,DF,27,1999-02-25,60,2,Monaco
Senegal,Édouard Mendy,GK,34,1992-03-01,56,0,Al-Ahli
Senegal,Pape Matar Sarr,MF,23,2002-09-14,39,4,Tottenham Hotspur
Senegal,Ismaïla Sarr,FW,28,1998-02-25,82,19,Crystal Palace
Senegal,Moussa Niakhaté,DF,30,1996-03-08,30,0,Lyon
Senegal,Ibrahim Mbaye,FW,18,2008-01-24,10,3,Paris Saint-Germain
Senegal,Habib Diarra,MF,22,2004-01-03,20,4,Sunderland
Senegal,Bara Sapoko Ndiaye,MF,18,2007-12-31,1,0,Bayern Munich
Senegal,Mory Diaw,GK,32,1993-06-22,5,0,Le Havre
Senegal,Antoine Mendy,DF,22,2004-05-27,6,0,Nice
Senegal,El Hadji Malick Diouf,DF,21,2004-12-29,19,1,West Ham United
Senegal,Pape Gueye,MF,27,1999-01-24,41,5,Villarreal
Algeria,Melvin Mastil,GK,26,2000-02-19,1,0,Stade Nyonnais
Algeria,Aïssa Mandi,DF,34,1991-10-22,117,7,Lille
Algeria,Achref Abada,DF,26,1999-06-15,7,1,USM Alger
Algeria,Mohamed Amine Tougai,DF,26,2000-01-22,29,2,Espérance de Tunis
Algeria,Zineddine Belaïd,DF,27,1999-03-20,10,1,JS Kabylie
Algeria,Ramiz Zerrouki,MF,28,1998-05-26,52,3,Twente
Algeria,Riyad Mahrez (captain),FW,35,1991-02-21,114,38,Al-Ahli
Algeria,Houssem Aouar,MF,27,1998-06-30,20,6,Al-Ittihad
Algeria,Amine Gouiri,FW,26,2000-02-16,22,8,Marseille
Algeria,Farès Chaïbi,MF,23,2002-11-28,29,3,Eintracht Frankfurt
Algeria,Anis Hadj Moussa,FW,24,2002-02-11,14,1,Feyenoord
Algeria,Nadhir Benbouali,FW,26,2000-04-17,3,1,Győri ETO
Algeria,Jaouen Hadjam,DF,23,2003-03-26,17,3,Young Boys
Algeria,Hicham Boudaoui,MF,26,1999-09-23,32,0,Nice
Algeria,Rayan Aït-Nouri,DF,25,2001-06-06,28,0,Manchester City
Algeria,Oussama Benbot,GK,31,1994-10-11,2,0,USM Alger
Algeria,Rafik Belghali,DF,24,2002-06-07,12,1,Hellas Verona
Algeria,Mohamed Amoura,FW,26,2000-05-09,45,19,VfL Wolfsburg
Algeria,Nabil Bentaleb,MF,31,1994-11-24,59,6,Lille
Algeria,Adil Boulbina,FW,23,2003-05-02,11,6,Al-Duhail
Algeria,Ramy Bensebaini,DF,31,1995-04-16,81,7,Borussia Dortmund
Algeria,Ibrahim Maza,MF,20,2005-11-24,16,2,Bayer Leverkusen
Algeria,Luca Zidane,GK,28,1998-05-13,7,0,Granada
Algeria,Yacine Titraoui,MF,22,2003-08-26,5,0,Charleroi
Algeria,Farès Ghedjemis,FW,23,2002-09-06,1,1,Frosinone
Algeria,Samir Chergui,DF,27,1999-02-06,4,0,Paris FC
Argentina,Juan Musso,GK,32,1994-05-06,3,0,Atlético Madrid
Argentina,Leonardo Balerdi,DF,27,1999-01-26,11,0,Marseille
Argentina,Nicolás Tagliafico,DF,33,1992-08-31,75,1,Lyon
Argentina,Gonzalo Montiel,DF,29,1997-01-01,38,2,River Plate
Argentina,Leandro Paredes,MF,31,1994-06-29,77,5,Boca Juniors
Argentina,Lisandro Martínez,DF,28,1998-01-18,26,1,Manchester United
Argentina,Rodrigo De Paul,MF,32,1994-05-24,85,2,Inter Miami CF
Argentina,Valentín Barco,MF,21,2004-07-23,2,1,Strasbourg
Argentina,Julián Alvarez,FW,26,2000-01-31,51,14,Atlético Madrid
Argentina,Lionel Messi (captain),FW,38,1987-06-24,198,116,Inter Miami CF
Argentina,Giovani Lo Celso,MF,30,1996-04-09,65,4,Real Betis
Argentina,Gerónimo Rulli,GK,34,1992-05-20,7,0,Marseille
Argentina,Cristian Romero,DF,28,1998-04-27,49,3,Tottenham Hotspur
Argentina,Exequiel Palacios,MF,27,1998-10-05,38,0,Bayer Leverkusen
Argentina,Nicolás González,MF,28,1998-04-06,50,6,Atlético Madrid
Argentina,Thiago Almada,FW,25,2001-04-26,14,4,Atlético Madrid
Argentina,Giuliano Simeone,FW,23,2002-12-18,11,1,Atlético Madrid
Argentina,Nico Paz,FW,21,2004-09-08,8,1,Como
Argentina,Nicolás Otamendi,DF,38,1988-02-12,130,8,Benfica
Argentina,Alexis Mac Allister,MF,27,1998-12-24,44,6,Liverpool
Argentina,José Manuel López,FW,25,2000-12-06,3,0,Palmeiras
Argentina,Lautaro Martínez,FW,28,1997-08-22,75,36,Inter Milan
Argentina,Emiliano Martínez,GK,33,1992-09-02,59,0,Aston Villa
Argentina,Enzo Fernández,MF,25,2001-01-17,40,6,Chelsea
Argentina,Facundo Medina,DF,27,1999-05-28,7,0,Marseille
Argentina,Nahuel Molina,DF,28,1998-04-06,58,1,Atlético Madrid
Austria,Alexander Schlager,GK,30,1996-02-01,26,0,Red Bull Salzburg
Austria,David Affengruber,DF,25,2001-03-19,1,0,Elche
Austria,Kevin Danso,DF,27,1998-09-19,32,0,Tottenham Hotspur
Austria,Xaver Schlager,MF,28,1997-09-28,51,4,RB Leipzig
Austria,Stefan Posch,DF,29,1997-05-14,52,5,Mainz 05
Austria,Nicolas Seiwald,MF,25,2001-05-04,47,1,RB Leipzig
Austria,Marko Arnautović,FW,37,1989-04-19,133,47,Red Star Belgrade
Austria,David Alaba (captain),DF,33,1992-06-24,113,15,Real Madrid
Austria,Marcel Sabitzer,MF,32,1994-03-17,98,26,Borussia Dortmund
Austria,Florian Grillitsch,MF,30,1995-08-07,58,1,Braga
Austria,Michael Gregoritsch,FW,32,1994-04-18,75,24,FC Augsburg
Austria,Florian Wiegele,GK,25,2001-03-21,1,0,Viktoria Plzeň
Austria,Patrick Pentz,GK,29,1997-01-02,18,0,Brøndby
Austria,Saša Kalajdžić,FW,28,1997-07-07,22,4,LASK
Austria,Philipp Lienhart,DF,29,1996-07-11,41,3,SC Freiburg
Austria,Phillipp Mwene,DF,32,1994-01-29,30,0,Mainz 05
Austria,Carney Chukwuemeka,MF,22,2003-10-20,3,1,Borussia Dortmund
Austria,Romano Schmid,MF,26,2000-01-27,34,3,Werder Bremen
Austria,Konrad Laimer,MF,29,1997-05-27,57,7,Bayern Munich
Austria,Patrick Wimmer,FW,25,2001-05-30,30,1,VfL Wolfsburg
Austria,Alexander Prass,MF,25,2001-05-26,19,0,TSG Hoffenheim
Austria,Marco Friedl,DF,28,1998-03-16,11,0,Werder Bremen
Austria,Paul Wanner,MF,20,2005-12-23,3,0,PSV Eindhoven
Austria,Michael Svoboda,DF,27,1998-10-15,4,0,Venezia
Austria,Alessandro Schöpf,MF,32,1994-02-07,35,6,Wolfsberger AC
Jordan,Yazeed Abulaila,GK,33,1993-01-08,75,0,Al-Hussein
Jordan,Mohammad Abu Hashish,DF,31,1995-05-09,55,1,Al-Karma
Jordan,Abdallah Nasib,DF,32,1994-02-25,64,3,Al-Zawraa
Jordan,Husam Abu Dahab,DF,26,2000-05-13,17,0,Al-Faisaly
Jordan,Yazan Al-Arab,DF,30,1996-01-31,79,3,FC Seoul
Jordan,Amer Jamous,MF,23,2002-07-03,18,1,Al-Zawraa
Jordan,Mohammad Abu Zrayq,FW,28,1997-12-30,40,5,Raja Casablanca
Jordan,Noor Al-Rawabdeh,MF,29,1997-02-24,67,3,Selangor
Jordan,Ali Olwan,FW,26,2000-03-26,65,29,Al-Sailiya
Jordan,Musa Al-Taamari,FW,29,1997-06-10,91,24,Rennes
Jordan,Odeh Al-Fakhouri,FW,20,2005-11-22,9,1,Pyramids
Jordan,Nour Bani Attiah,GK,33,1993-01-25,4,0,Al-Faisaly
Jordan,Mahmoud Al-Mardi,FW,32,1993-10-06,88,9,Al-Hussein
Jordan,Rajaei Ayed,MF,32,1993-07-25,72,0,Al-Hussein
Jordan,Ibrahim Sadeh,MF,26,2000-04-27,56,3,Al-Karma
Jordan,Mo Abualnadi,DF,25,2001-02-08,17,0,Selangor
Jordan,Salim Obaid,DF,34,1992-01-17,10,0,Al-Hussein
Jordan,Ibrahim Sabra,FW,20,2006-02-01,9,1,Lokomotiva Zagreb
Jordan,Saed Al-Rosan,DF,29,1997-02-01,20,2,Al-Hussein
Jordan,Mohannad Abu Taha,MF,23,2003-02-02,28,1,Al-Quwa Al-Jawiya
Jordan,Nizar Al-Rashdan,MF,27,1999-03-23,46,4,Qatar SC
Jordan,Abdallah Al-Fakhouri,GK,26,2000-01-22,11,0,Al-Wehdat
Jordan,Ihsan Haddad (captain),DF,32,1994-02-05,91,2,Al-Hussein
Jordan,Ali Azaizeh,FW,22,2004-04-13,3,0,Al-Shabab
Jordan,Mohammad Al-Dawoud,MF,34,1992-04-12,12,1,Al-Wehdat
Jordan,Anas Badawi,DF,28,1997-09-13,1,0,Al-Faisaly
Colombia,David Ospina,GK,37,1988-08-31,130,0,Atlético Nacional
Colombia,Daniel Muñoz,DF,30,1996-05-26,45,3,Crystal Palace
Colombia,Jhon Lucumí,DF,27,1998-06-26,36,1,Bologna
Colombia,Santiago Arias,DF,34,1992-01-13,67,0,Independiente
Colombia,Kevin Castaño,MF,25,2000-09-29,25,0,River Plate
Colombia,Richard Ríos,MF,26,2000-06-02,31,2,Benfica
Colombia,Luis Díaz,FW,29,1997-01-13,73,22,Bayern Munich
Colombia,Jorge Carrascal,MF,28,1998-05-25,23,2,Flamengo
Colombia,Jhon Córdoba,FW,33,1993-05-11,21,6,Krasnodar
Colombia,James Rodríguez (captain),MF,34,1991-07-12,125,31,Minnesota United FC
Colombia,Jhon Arias,MF,28,1997-09-21,37,4,Palmeiras
Colombia,Camilo Vargas,GK,37,1989-03-09,41,0,Atlas
Colombia,Yerry Mina,DF,31,1994-09-23,53,8,Cagliari
Colombia,Gustavo Puerta,DF,22,2003-07-23,5,1,Racing Santander
Colombia,Juan Portilla,MF,27,1998-09-12,9,0,Athletico Paranaense
Colombia,Jefferson Lerma,MF,31,1994-10-25,64,5,Crystal Palace
Colombia,Johan Mojica,DF,33,1992-08-21,44,1,Mallorca
Colombia,Willer Ditta,DF,28,1998-01-23,4,0,Cruz Azul
Colombia,Cucho Hernández,FW,27,1999-04-20,8,2,Real Betis
Colombia,Juan Fernando Quintero,MF,33,1993-01-18,48,6,River Plate
Colombia,Jaminton Campaz,FW,26,2000-05-24,9,1,Rosario Central
Colombia,Deiver Machado,DF,32,1993-09-02,15,0,Nantes
Colombia,Davinson Sánchez,DF,29,1996-06-12,78,4,Galatasaray
Colombia,Álvaro Montero,GK,31,1995-03-29,11,0,Vélez Sarsfield
Colombia,Luis Suárez,FW,28,1997-12-02,11,5,Sporting CP
Colombia,Andrés Gómez,FW,23,2002-09-12,7,2,Vasco da Gama
DR Congo,Lionel Mpasi,GK,31,1994-08-01,28,0,Le Havre
DR Congo,Aaron Wan-Bissaka,DF,28,1997-11-26,11,0,West Ham United
DR Congo,Steve Kapuadi,DF,28,1998-04-30,4,0,Widzew Łódź
DR Congo,Axel Tuanzebe,DF,28,1997-11-14,13,1,Burnley
DR Congo,Dylan Batubinsika,DF,30,1996-02-15,14,1,AEL
DR Congo,Ngal'ayel Mukau,MF,21,2004-11-03,13,0,Lille
DR Congo,Nathanaël Mbuku,MF,24,2002-03-16,18,2,Montpellier
DR Congo,Samuel Moutoussamy,MF,29,1996-08-12,57,0,Atromitos
DR Congo,Brian Cipenga,FW,28,1998-03-11,7,0,Castellón
DR Congo,Théo Bongonda,MF,30,1995-11-20,37,7,Spartak Moscow
DR Congo,Gaël Kakuta,FW,34,1991-06-21,30,5,AEL
DR Congo,Joris Kayembe,DF,31,1994-08-08,25,0,Genk
DR Congo,Meschak Elia,FW,28,1997-08-06,68,12,Alanyaspor
DR Congo,Noah Sadiki,MF,21,2004-12-17,19,0,Sunderland
DR Congo,Aaron Tshibola,MF,31,1995-01-02,16,1,Kilmarnock
DR Congo,Timothy Fayulu,GK,26,1999-07-24,3,0,Noah
DR Congo,Cédric Bakambu,FW,35,1991-04-11,69,21,Real Betis
DR Congo,Charles Pickel,MF,29,1997-05-15,34,1,Espanyol
DR Congo,Fiston Mayele,FW,31,1994-06-24,37,6,Pyramids
DR Congo,Yoane Wissa,FW,29,1996-09-03,37,9,Newcastle United
DR Congo,Matthieu Epolo,GK,21,2005-01-15,1,0,Standard Liège
DR Congo,Chancel Mbemba (captain),DF,31,1994-08-08,108,7,Lille
DR Congo,Simon Banza,FW,29,1996-08-13,15,2,Al Jazira
DR Congo,Gédéon Kalulu,DF,28,1997-08-29,28,0,Aris Limassol
